feature,direction,threshold,selected_events,selected_positive,selected_negative,win_rate_pct,average_profit_usd,total_profit_usd,median_profit_usd,best_profit_usd,worst_profit_usd,precision,recall,false_positive_rate,training_cycle_start,training_cycle_end
liquidity_score,HIGHER,93.36947368421052,184,0,184,0.0,-0.002400152173913042,-0.4416279999999997,-0.0020085000000000224,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.20535714285714285,1,9
volume_score,HIGHER,93.87052631578948,183,0,183,0.0,-0.0024193387978142153,-0.44273900000000144,-0.0020369999999999538,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.20424107142857142,1,9
market_score,HIGHER,88.40736842105264,199,0,199,0.0,-0.0023352462311557846,-0.4647140000000012,-0.0020059999999999505,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.22209821428571427,1,9
minimum_component_score,HIGHER,40.78894736842105,132,0,132,0.0,-0.0035441136363636347,-0.46782299999999977,-0.0022419999999999645,-0.0004340000000000437,-0.021935999999999956,0.0,0.0,0.14732142857142858,1,9
intelligence_score,HIGHER,53.355000000000004,148,0,148,0.0,-0.0031896081081081067,-0.4720619999999998,-0.0022165000000000084,-0.0004340000000000437,-0.011800999999999949,0.0,0.0,0.16517857142857142,1,9
composite_market_score,HIGHER,80.7739352631579,196,0,196,0.0,-0.002433872448979596,-0.47703900000000077,-0.0020019999999999465,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.21875,1,9
maximum_component_score,HIGHER,95.15,220,0,220,0.0,-0.002280200000000005,-0.5016440000000011,-0.0020099999999999545,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.24553571428571427,1,9
minimum_component_score,HIGHER,36.43684210526316,145,0,145,0.0,-0.003564179310344825,-0.5168059999999997,-0.0022379999999999605,-0.0004340000000000437,-0.021935999999999956,0.0,0.0,0.16183035714285715,1,9
volume_score,HIGHER,91.76210526315789,233,0,233,0.0,-0.0024250000000000053,-0.5650250000000012,-0.0020449999999999618,-0.0004340000000000437,-0.0073360000000000074,0.0,0.0,0.26004464285714285,1,9
market_score,HIGHER,86.98210526315789,247,0,247,0.0,-0.0023003805668016246,-0.5681940000000013,-0.002036000000000036,-0.0004340000000000437,-0.007114999999999981,0.0,0.0,0.27566964285714285,1,9
intelligence_score,HIGHER,51.24568421052632,158,0,158,0.0,-0.0036115189873417715,-0.5706199999999999,-0.0022969999999999918,-0.0004340000000000437,-0.01704300000000003,0.0,0.0,0.17633928571428573,1,9
minimum_component_score,HIGHER,24.08473684210526,156,0,156,0.0,-0.0037482115384615358,-0.5847209999999996,-0.0022699999999999925,-0.0004340000000000437,-0.021935999999999956,0.0,0.0,0.17410714285714285,1,9
liquidity_score,HIGHER,91.62263157894738,235,0,235,0.0,-0.0024920553191489342,-0.5856329999999995,-0.0020099999999999545,-0.0004340000000000437,-0.031776000000000026,0.0,0.0,0.2622767857142857,1,9
